"assigned_employee_id";"employee_name";"phone_number";"email";"address";"province_name";"town_name";"position"
34;"Rudo Imani";"+99046972648 ";"";"15 Lake Malawi Avenue";"Kilimani";"Ilanga";"Field Surveyor"
36;"Sanaa Tendaji";"+99477692836 ";"";"88 Elephantine Boulevard";"Amanzi";"Dahabu";"Field Surveyor"
38;"Thandiwe Kito";"+99895654233 ";"";"106 Dakar Road";"Hawassa";"Zanzibar";"Field Surveyor"
40;"Usafi Ayo";"+99613194771 ";"";"76 Kenyatta Street";"Sokoto";"Rural";"Field Surveyor"
42;"Vuyisile Kwame";"+99489752164 ";"";"1 Zambezi Way";"Kilimani";"Rural";"Field Surveyor"
44;"Wambui Jabali";"+99269319001 ";"";"31 Mandela Road";"Hawassa";"Rural";"Field Surveyor"
46;"Xola Uzuri";"+99239172440 ";"";"50 Enkare Narok Avenue";"Amanzi";"Dahabu";"Field Surveyor"
48;"Yewande Ebele";"+99239164858 ";"";"119 Moroni Avenue";"Hawassa";"Rural";"Field Surveyor"
49;"Nadia Zalika";"+99578401238 ";"";"26 Bahari Ya Faraja Road";"Kilimani";"Rural";"Project Manager"
50;"Ayo Deka";"+99345162378 ";"";"18 Mlima Tazama Avenue";"Hawassa";"Rural";"UI/UX Designer"
52;"Bahira Jamila";"+99239271483 ";"";"30 Nyoka Achebe Street";"Amanzi";"Dahabu";"Front-end Developer"
53;"Chidi Kunto";"+99738251476 ";"";"146 Okapi Road";"Hawassa";"Yaounde";"Data Analyst"
54;"Dalila Lesedi";"+99471523698 ";"";"18 Casablanca Road";"Sokoto";"Rural";"Data Analyst"
56;"Eshe Makena";"+99381254763 ";"";"45 Umqombothi Avenue";"Hawassa";"Serowe";"Human Resources Specialist"
58;"Faridah Khalida";"+99142537684 ";"";"176 Port Said Street";"Kilimani";"Harare";"Pioneer"
62;"Gavivi Ona";"+99924513876 ";"";"51 Addis Ababa Road";"Akatsi";"Harare";"Financial Analyst"
64;"Hasani Pili";"+99568247135 ";"";"33 Afro Beat Road";"Hawassa";"Serowe";"Deputy Project Manager"
68;"Iniko Quibilah";"+99735681472 ";"";"93 Afro Beat Road";"Hawassa";"Serowe";"Financial Manager"
71;"Jengo Rudo";"+99317854629 ";"";"33 Angélique Kidjo Avenue";"Amanzi";"Dahabu";"Civil Engineer"
73;"Kofi Sanaa";"+99874512369 ";"";"42 Malabo Drive";"Kilimani";"Rural";"Creative Designer"
75;"Lulu Thandiwe";"+99127436598 ";"";"117 Kampala Road";"Hawassa";"Zanzibar";"Team Leader"
79;"Makena Usafi";"+99583124796 ";"";"55 Fennec Way";"Sokoto";"Rural";"Quality Assurance Analyst"
81;"Nia Vuyisile";"+99273841596 ";"";"52 Moroni Avenue";"Sokoto";"Rural";"Civil Engineer"
83;"Ona Wambui";"+99968217435 ";"";"81 Rhodes Street";"Hawassa";"Rural";"Public Relations Specialist"
87;"Pili Xola";"+99682314579 ";"";"31 Samora Machel Road";"Kilimani";"Harare";"Civil Engineer"
89;"Quibilah Yewande";"+99721534698 ";"";"110 Nyerere Road";"Kilimani";"Rural";"Supervisor"
93;"Rudo Zalika";"+99578123469 ";"";"7 Dakar Drive";"Akatsi";"Lusaka";"Field Engineer"
94;"Sanaa Ayo";"+99375418692 ";"";"172 Fisi Nkrumah Street";"Akatsi";"Rural";"Data Scientist"
96;"Thabo Akida";"+99178325649 ";"";"24 Okonjo-Iweala Street";"Akatsi";"Lusaka";"Engineering Department Head"
98;"Usafi Bahir";"+99234156789 ";"";"1 Savanna Street";"Akatsi";"Rural";"Analytical Chemist"
102;"Vuyisile Ghadir";"+99712584936 ";"";"104 Kenyatta Street";"Akatsi";"Rural";"Micro Biologist"
104;"Wambui Hadiya";"+99634157892 ";"";"145 Sungura Amanpour Road";"Kilimani";"Rural";"Compliance Officer"
105;"Xola Inaya";"+99231569847 ";"";"100 Mogadishu Road";"Akatsi";"Lusaka";"Field Engineer"
108;"Yewande Jengo";"+99123456978 ";"";"25 Selassie Drive";"Amanzi";"Rural";"Construction Manager"
110;"Zuri Kofi";"+99412356789 ";"";"36 Pwani Mchangani Road";"Sokoto";"Ilanga";"Graphic Designer"
